"","delta.rank","pval","level","nseqs","term","name","p.adj"
"227",0,2.6227259848299e-06,5,9,"GO:0019509;GO:0071267;GO:0043102;GO:0071265","amino acid salvage",0
"490",0,7.99850167917144e-07,2,5,"GO:0071555;GO:0045229;GO:0071554","cell wall organization",0
