"","delta.rank","pval","level","nseqs","term","name","p.adj"
"338",0,1.07503556011527e-06,4,19,"GO:0043901","negative regulation of multi-organism process",0
"508",0,8.41616357123857e-05,3,13,"GO:0071345","cellular response to cytokine stimulus",0.005
