CoPt_E_rep1	CoPt_E_rep2	CoPt_E_rep3	CoPt_E_rep4	CoPt_H_rep1	CoPt_H_rep2	CoPt_H_rep3	CoPt_H_rep4	Falu_E_rep1	Falu_E_rep3	Falu_E_rep4	Falu_E_rep6	Falu_H_rep1	Falu_H_rep4	Falu_H_rep6	Ftele_E_rep3	Ftele_E_rep5	Ftele_E_rep6	Ftele_H_rep1	Ftele_H_rep3	Ftele_H_rep5	Ftele_H_rep6	Can_E_rep2	Can_E_rep3	Can_E_rep4	Can_E_rep6	Can_H_rep2	Can_H_rep3	Can_H_rep5	Can_H_rep6	Vat_E_rep1	Vat_E_rep3	Vat_E_rep4	Vat_E_rep6	Vat_H_rep1	Vat_H_rep3	Vat_H_rep4	Vat_H_rep6
CoPt_E_rep1	1	0.925116619295301	0.912974630331146	0.920349450508927	0.865937433641579	0.747284851966552	0.816102431418315	0.802800428736925	0.906155257223356	0.925949082654682	0.900732102427236	0.908222375781657	0.765520956890818	0.792079337351755	0.793102363731352	0.892370135968487	0.929920114577295	0.887952130497174	0.805081030613585	0.767521583410693	0.843098311477866	0.769016632083782	0.886152973662688	0.906313008301364	0.89338996732104	0.900103734080821	0.770523105381671	0.77786570726072	0.792827068659926	0.808346551384033	0.90538823403466	0.905379904305249	0.919668895086332	0.912656587000337	0.820402154394705	0.76789098828705	0.804726343097991	0.81900386762051
CoPt_E_rep2	0.925116619295301	1	0.934402673486679	0.942002436785009	0.842118270395795	0.782690959449696	0.846607550140883	0.809424448407314	0.937481771354549	0.924812674890097	0.924116853992739	0.925188625697113	0.784558111645212	0.813200238225802	0.821626794527593	0.919986630409845	0.914674064472396	0.888498807942911	0.819915971078114	0.787858589661529	0.848082377283229	0.794781809026666	0.876136210808621	0.89701126598931	0.893110550723223	0.894782287853837	0.768293538878356	0.77634825031038	0.777747143286056	0.812591893601306	0.884902531494008	0.905754761888077	0.888868975870139	0.924040882999834	0.801362712888767	0.784252089615127	0.800654609795491	0.833242887602834
CoPt_E_rep3	0.912974630331146	0.934402673486679	1	0.931352694402486	0.840095834972285	0.766793261008327	0.89046098300768	0.83097592326209	0.933335805121064	0.930431866988445	0.941087820354037	0.93746534961111	0.792053402063967	0.840736053183287	0.842830803714696	0.916339509920648	0.91196712307292	0.888899223515487	0.832273089867061	0.798071957647276	0.858819849029023	0.804206695682694	0.866380420868933	0.88594362881123	0.886305968576702	0.904545084026956	0.772514022030734	0.782193672350911	0.788699167345327	0.834505098894067	0.879958844886547	0.895217480710586	0.88331082332693	0.932610050381793	0.807508611454718	0.79493039327349	0.811356987850514	0.854019908416403
CoPt_E_rep4	0.920349450508927	0.942002436785009	0.931352694402486	1	0.84953426655187	0.769782389215627	0.852426533558969	0.815924645050862	0.935991996468014	0.929823623355997	0.925863454545035	0.925199006071043	0.791215770456197	0.823512169366845	0.825035791151853	0.931244049584222	0.919637440518139	0.911118053776308	0.828691166969832	0.806139469690803	0.852183529382085	0.806810601863992	0.890846452175918	0.904493835678713	0.909207263108333	0.898940384202444	0.786819201139421	0.788786473304081	0.791536746122376	0.821968704882439	0.891743968212947	0.911353870667127	0.897521275213184	0.916677569402279	0.815196877655313	0.795903341943323	0.809454759372259	0.837057341015908
CoPt_H_rep1	0.865937433641579	0.842118270395795	0.840095834972285	0.84953426655187	1	0.871421723678093	0.90528008040947	0.900843982461556	0.838220082428201	0.85780619696045	0.850036564782347	0.843654590953661	0.876239599311611	0.886674324050687	0.899690937761111	0.840996019996366	0.853339953658725	0.852105509425112	0.894297515678297	0.876382283889681	0.901444526604004	0.884483941816699	0.842884267325967	0.838626339110767	0.845158184003643	0.853501678739201	0.868193508589492	0.874480844747932	0.898780189165489	0.895484794901354	0.831516249908111	0.84304214988529	0.846706557845628	0.833358711966755	0.894071303379053	0.868463785025522	0.905224208586344	0.888520361569605
CoPt_H_rep2	0.747284851966552	0.782690959449696	0.766793261008327	0.769782389215627	0.871421723678093	1	0.866086851139547	0.871513874554216	0.771462449007697	0.783953403604916	0.782631647652875	0.774949251596309	0.887676995004223	0.862395853014552	0.85931131872749	0.785642333705576	0.774526764931785	0.811115509751039	0.88423722250406	0.871694471448622	0.855125278740324	0.876791907193239	0.799118923212773	0.779070819403157	0.799857080453082	0.788438539777098	0.862538161968965	0.874796659730099	0.864189389640848	0.851192300088947	0.754387025020672	0.790869485771037	0.77414041587919	0.760534267350212	0.854534409301047	0.880032911398867	0.872668289654157	0.85427840747164
CoPt_H_rep3	0.816102431418315	0.846607550140883	0.89046098300768	0.852426533558969	0.90528008040947	0.866086851139547	1	0.914761100892682	0.854475763361783	0.855750316276557	0.876136082729801	0.860915252887812	0.881406157043513	0.925957421618436	0.934431145755495	0.851968640912927	0.833517597735816	0.841830437629528	0.90091226596267	0.887946036113831	0.898398760098044	0.901179703975444	0.813645377663213	0.814830966729442	0.824938185997833	0.84822415856233	0.849954477630189	0.858920976867859	0.871729890455777	0.909842900362613	0.804075289356926	0.823441781571851	0.806080265722798	0.842199406121991	0.863395827932902	0.87439936862609	0.887011604350955	0.909142775111757
CoPt_H_rep4	0.802800428736925	0.809424448407314	0.83097592326209	0.815924645050862	0.900843982461556	0.871513874554216	0.914761100892682	1	0.813354823092873	0.826070044568955	0.836911068146385	0.827828968261944	0.886429082124543	0.908268385624035	0.909367380153717	0.819005756006992	0.821037478445791	0.839539602917843	0.900040564802313	0.886344742157914	0.885725367976799	0.894932725215877	0.824069748460875	0.815755934162401	0.827870636127105	0.842933117443146	0.871934757223823	0.886848205111079	0.883883404750382	0.907349662753872	0.796724307490659	0.823289794472476	0.814889436716151	0.818643242965359	0.873330461558477	0.873200636548889	0.88376797337227	0.902056014807468
Falu_E_rep1	0.906155257223356	0.937481771354549	0.933335805121064	0.935991996468014	0.838220082428201	0.771462449007697	0.854475763361783	0.813354823092873	1	0.92745392666226	0.927875591701972	0.925145376215639	0.821806051920882	0.825913607201503	0.832756974082192	0.926865773688495	0.909714096414009	0.894438355853663	0.829631333951473	0.799356724861275	0.85625926946325	0.807143495197477	0.863727766986199	0.880685598512394	0.888301622694738	0.881674087559439	0.770185065647361	0.778528980325727	0.780261597895729	0.814215792741612	0.872608907125246	0.898740222284	0.877457896462776	0.916276076437889	0.799263493572077	0.795313141111283	0.802594022710674	0.83655360143919
Falu_E_rep3	0.925949082654682	0.924812674890097	0.930431866988445	0.929823623355997	0.85780619696045	0.783953403604916	0.855750316276557	0.826070044568955	0.92745392666226	1	0.923231465519334	0.923874709532128	0.801364137357464	0.833617903786137	0.829890955866939	0.920065956420235	0.933465533139156	0.906797582531538	0.839979903107879	0.807874096803322	0.873879013835001	0.810362975448193	0.88360519374257	0.894961570184698	0.902833104146882	0.896553523152635	0.790456971012255	0.799153103147168	0.81172084781437	0.827215934735395	0.901609487955376	0.909190616634565	0.91090567604227	0.915270568097223	0.838319467010618	0.804793866432698	0.83152527596456	0.847354451592105
