"","delta.rank","pval","level","nseqs","term","name","p.adj"
"257",0,1.00022599020431e-07,5,120,"GO:0015074","DNA integration",0
"598",0,6.21699051895238e-06,2,28,"GO:0070534","protein K63-linked ubiquitination",0
"674",0,1.52226122576313e-10,5,3804,"unknown","unknown",0
