Ourcontigname,MM.darkorange
contig105648,NA
contig105650,NA
contig105657,NA
contig105661,NA
contig105662_153363_44812,NA
contig105670,NA
contig105687_111709,NA
contig105703_188719,NA
contig105704_97697,NA
contig105705_117143,NA
contig105708,NA
contig105710,NA
contig105711,NA
contig105718_156815,NA
contig105729,NA
contig105733_58792_174316,NA
contig105739,NA
contig105743,NA
contig105760,NA
contig105763_213652,NA
contig105765,NA
contig105766_115061,NA
contig105767_209542,NA
contig105768,NA
contig105769,NA
contig105772,NA
contig105773,NA
contig105777_213442,NA
contig105786,NA
contig105788,NA
contig105793,NA
contig105795,NA
contig105822,NA
contig105823,NA
contig105825,NA
contig105826,NA
contig105837,NA
contig105839,NA
contig105844_119721,NA
contig105849_205966_77249,NA
contig105861,NA
contig105884,NA
contig105886,NA
contig105902,NA
contig105903,NA
contig105911,NA
contig105912,NA
contig105926,NA
contig105927,NA
contig105930,NA
contig105940,NA
contig105941,NA
contig105949,NA
contig105950,NA
contig105957,NA
contig105959_210374,NA
contig105967,NA
contig105974,NA
contig106000,NA
contig106001,NA
contig106003_146038,NA
contig106004,NA
contig106013_112184,NA
contig106017,NA
contig106020,NA
contig106027,NA
contig106029,NA
contig106035,NA
contig106040,NA
contig106043,NA
contig106045,NA
contig106046,NA
contig106050,NA
contig106051,NA
contig106056,NA
contig106086_185376,NA
contig106093,NA
contig106097_147826,NA
contig106098,NA
contig106102,NA
contig106103,NA
contig106104_170621_151951_205178,NA
contig106108_120302,NA
contig106110,NA
contig106111_5327,NA
contig106118,NA
contig106135,NA
contig106142,NA
contig106145_165487_72939_22650,NA
contig106153,NA
contig106160,NA
contig106162,NA
contig106164,NA
contig106168,NA
contig106179,NA
contig106200,NA
contig106206,NA
contig106215,NA
contig106219,NA
contig106239,NA
contig10624,NA
contig106240,NA
contig106241,NA
contig106245,NA
contig106269,NA
contig106284_75106_138172,NA
contig106291,NA
contig106293,NA
contig106294,NA
contig106310_9323,NA
contig106320,NA
contig106322,NA
contig106326,NA
contig106341,NA
contig106360_177072_145683,NA
contig106367,NA
contig106368,NA
contig106369,NA
contig10637,NA
contig106372,NA
contig10640,NA
contig10642_157839,NA
contig106422,NA
contig106423,NA
contig106429_182676,NA
contig106430_150933,NA
contig106432,NA
contig106466_98837,NA
contig106467,NA
contig106475,NA
contig106478,NA
contig106483,NA
contig106486_19243,NA
contig106487,0.837328830800097
contig106492_69770,NA
contig106501,NA
contig106502,NA
contig106503,NA
contig106504,NA
contig106514_117255,NA
contig106516,NA
contig106523,NA
contig106527_157532_5704,NA
contig106530,NA
contig106531,NA
contig106532,NA
contig106540,NA
contig106545,NA
contig106554,NA
contig106558,NA
contig106559,NA
contig106560_114965,NA
contig106565,NA
contig106568,NA
contig106569_153194,NA
contig106571_177053,NA
contig106576,NA
contig106582,NA
contig106584,NA
contig106591,NA
contig106598_114779,NA
contig106601,NA
contig106602_73004_97937_65287,NA
contig106616,NA
contig106620_211516,NA
contig106622,NA
contig106651,NA
contig106652,NA
contig106653_114202,NA
contig106655,NA
contig106662_176996_169967_151705,NA
contig106668,NA
contig106670,NA
contig106677,NA
contig106679,NA
contig106681,NA
contig106682,NA
contig106689,NA
contig106692,NA
contig106702,NA
contig106703_18337_157669_69213_137379_204527,NA
contig106721,NA
contig106724,NA
contig10673,NA
contig106734,NA
contig106735,NA
contig106737,NA
contig106742,NA
contig106751,NA
contig106756,NA
contig106760_147682,NA
contig106763,NA
contig106768_8355_204316_70181_71899,NA
contig106771,NA
contig106773_187167,NA
contig106790_99862_153506,NA
contig106792,NA
contig106795,NA
contig106820_151399,NA
contig106824,NA
contig106831,NA
contig106850,NA
contig106852,NA
contig106865,NA
contig106878,NA
contig106881_131209,NA
contig106889,NA
contig106890,NA
contig106896,NA
contig106897_148371,NA
contig106903,NA
contig106909,NA
contig106910,NA
contig106924_9647,NA
contig106927,NA
contig106929,NA
contig106931,NA
contig106932,NA
contig106935_106332,NA
contig106938,NA
contig106941_600059,NA
contig106945,NA
contig106954,NA
contig106957,NA
contig106958,NA
contig106963,NA
contig106976,NA
contig106977,NA
contig106980,NA
contig106982_79798,0.835961769412839
contig106983,NA
contig106984_147806,NA
contig106994,NA
