Ourcontigname,MM.darkorange
contig147781,NA
contig147785_111657_104575_74373,NA
contig147786,NA
contig147787,NA
contig147788,NA
contig147789,NA
contig14779_58394_116848,NA
contig147793,NA
contig147794_155167,NA
contig147797,NA
contig147799,NA
contig147802,NA
contig147804,NA
contig147805,NA
contig147807,NA
contig147811,NA
contig147814,NA
contig147815,NA
contig147816,NA
contig147817,NA
contig147818,NA
contig147821,NA
contig147822,NA
contig147824,NA
contig147827,NA
contig147828,NA
contig147829,NA
contig147832_125813,NA
contig147838,NA
contig147839,NA
contig147840,NA
contig147841_218745,NA
contig147842,NA
contig147846,NA
contig147847,NA
contig147849_153917,NA
contig147852,NA
contig147855,NA
contig147858,NA
contig147862,NA
contig147863,NA
contig147864_169255_134308,NA
contig147865,NA
contig147869,NA
contig147870,NA
contig147880,NA
contig147889,NA
contig147890,NA
contig147893,NA
contig147894,NA
contig147896,NA
contig147902,NA
contig147903,NA
contig147904,NA
contig147906,NA
contig147909_153909,NA
contig14791_82855_200544_111502,NA
contig147912_72201,NA
contig147913,NA
contig147916,NA
contig147922,NA
contig147924,NA
contig147926,NA
contig147932,NA
contig147938,NA
contig147941,NA
contig147943,NA
contig147945,NA
contig147946_211446,NA
contig147952,NA
contig147954,NA
contig147955,NA
contig147956,NA
contig147958,NA
contig147961,NA
contig147964,NA
contig147967,NA
contig147968,NA
contig147969,NA
contig147971,NA
contig147973,NA
contig147975,NA
contig147977,NA
contig147978,NA
contig147981,NA
contig147982,NA
contig147983,NA
contig147984,NA
contig147985,NA
contig147986,NA
contig147987,NA
contig147988,NA
contig147990,NA
contig147991,NA
contig147992,NA
contig147993,NA
contig147996,NA
contig147998,NA
contig147999,NA
contig148000_128384,NA
contig148001_209753_14227,NA
contig148003,NA
contig148008,NA
contig148012,NA
contig148013,NA
contig148015,NA
contig148018,NA
contig148020,NA
contig148021,NA
contig148022_65962,NA
contig148023,NA
contig148025,NA
contig148027,NA
contig148032,NA
contig148035_194027,NA
contig148037,NA
contig148039,NA
contig148048,NA
contig148050,0.788660360345186
contig148067,NA
contig148069_189459,NA
contig148070,NA
contig148072,NA
contig148075,NA
contig148076,NA
contig148077,NA
contig148078,NA
contig148080_145956,NA
contig148082,NA
contig148084,NA
contig148086,NA
contig148088,NA
contig148089,NA
contig148090,NA
contig148092,NA
contig148094,0.432330066855007
contig148095,NA
contig148096,NA
contig148099,NA
contig148100,NA
contig148101,NA
contig148102,NA
contig148104,NA
contig148107,NA
contig148111_153501,NA
contig148119,NA
contig148131,NA
contig148132,NA
contig148133,NA
contig148139,NA
contig148142_98861_176321,NA
contig148145_103234_81066,NA
contig148148_151307_109611,NA
contig148150,NA
contig148152,NA
contig148153,NA
contig148155,NA
contig148160,NA
contig148163_208447_79626_78420_113253,NA
contig148165,NA
contig148168,NA
contig148169,NA
contig148181,NA
contig148183_110296,NA
contig148184_179747,0.557377405387016
contig14822_207842,NA
contig148222,NA
contig148227,NA
contig148228,NA
contig148275_12795_92470,NA
contig148279_131491_78541,NA
contig148284,NA
contig148286_148656,NA
contig148290,NA
contig148295_115958,NA
contig148322,NA
contig148323,NA
contig148332,NA
contig148341,NA
contig148344_151555,NA
contig148345,NA
contig148359,NA
contig148379,NA
contig148380,NA
contig148391,NA
contig148396,NA
contig148397,NA
contig148405,NA
contig148408,NA
contig148409,NA
contig148410,NA
contig148421,NA
contig148422,NA
contig148423,NA
contig148433,NA
contig148435,NA
contig148437,NA
contig148439,NA
contig148446,NA
contig148447,NA
contig148449,NA
contig148456,NA
contig148464,NA
contig148465,NA
contig148467,NA
contig148474,NA
contig148478,NA
contig148479,NA
contig148483,NA
contig148501,NA
contig148512,NA
contig148526,NA
contig148538,NA
contig148540,NA
contig148552,NA
contig148553,NA
contig148555,NA
contig148556,NA
contig148557,NA
contig148558,NA
contig148560,NA
contig148561,NA
contig148564_148898_73432_215104,NA
contig148565,NA
contig148568,NA
contig148569,NA
contig148570,NA
contig148573,NA
contig148577,NA
contig148578_170429,NA
contig148580,NA
contig148582,NA
contig148583,NA
contig148584,NA
contig148585,NA
contig148589,NA
contig148594,NA
contig148596,NA
contig148601,NA
contig148603,NA
contig148604,NA
contig148606,NA
contig148607_176183,NA
contig148608_81935_139066_54798_107122_7196,NA
contig148609,NA
contig148610,NA
contig148613_107845_216777_165704_208464,NA
contig148615,NA
contig148617,NA
contig148619,NA
contig148620,NA
contig148622,NA
contig148624,NA
contig148625,NA
contig148628,NA
contig148629,NA
contig148631,NA
contig148633,NA
contig148635,NA
contig148637,NA
contig148638,NA
contig148640_75405,NA
contig148647,NA
contig148649,NA
contig148650,NA
contig148651,NA
contig148652,NA
contig148654_175830_115564,NA
contig148655_158040,NA
contig148659,NA
contig148661_19368,NA
contig148663,NA
contig148667,NA
contig148668_150530,NA
contig148670,NA
contig148676_78292,NA
contig148679,NA
contig148681,NA
contig148690,NA
contig148694,NA
contig148697,NA
contig148698_147620,NA
contig148700,NA
contig148701,NA
contig148706,NA
contig148710,NA
contig148712_16847,NA
contig148715_156923,NA
contig148716,NA
contig148718,NA
contig148719_44318,NA
contig148721,NA
contig148723,NA
contig148726,NA
contig148732_194072_171706,NA
contig148733,NA
contig148738,NA
contig148740,NA
contig148741,NA
contig148743,NA
contig148759,NA
contig148761,NA
contig148767_201398,NA
contig148769,NA
contig148770,NA
contig148774,NA
contig148776,NA
contig148783,NA
contig148784,NA
contig148785,NA
contig148786,NA
contig148787,NA
contig148789,NA
contig14879,NA
contig148791,NA
contig148793,NA
contig148795,NA
contig148796_92834,NA
contig148798,NA
contig148800,NA
contig148802,NA
contig148805,NA
contig148811_112380,NA
contig148816_186552,NA
contig148818,NA
contig148819,NA
contig148822,NA
contig148823,NA
contig148824,NA
contig148826,NA
contig148827,NA
contig148830,NA
contig148831,NA
contig148833,NA
contig148836,NA
contig148837,NA
contig148838,NA
contig148839,NA
contig148844,NA
contig148845,NA
contig148847,NA
contig148848,NA
contig148849,NA
contig148853,NA
contig148854,NA
contig148856,NA
contig148857,NA
contig148858_138035,NA
contig148859,NA
contig148861,NA
contig148864,NA
contig148867,NA
contig148868,NA
contig148869_104994,NA
contig148871,NA
contig148872,NA
contig148875,NA
contig148877_171028,NA
contig148878,NA
contig14888,NA
contig148880,NA
contig148881,NA
contig148883,NA
contig148886_169225,NA
contig148892,NA
contig148896,NA
contig148897,NA
contig148899_213386,NA
contig148902,NA
contig148903,NA
contig148906,NA
contig148908,NA
contig148911,NA
contig148913_209083,NA
contig148914,NA
contig148918,NA
contig148920,NA
contig148924_217550,NA
contig148927,NA
contig148930,NA
contig148935,NA
contig148940,NA
contig148941_145333,NA
contig148948,NA
contig148950,NA
contig148958,NA
contig148964,NA
contig148967,NA
contig148969,NA
contig148976,NA
contig148984,NA
contig148988,NA
contig148991,NA
contig149001,NA
contig149028,NA
contig149033,NA
contig149037_109896_107711_119488,NA
contig149038,NA
contig149045,NA
contig149049,NA
contig149054,NA
contig149073,NA
contig149076,NA
contig149078_57008,NA
contig149087,NA
contig149092_130434_4116_116837,NA
contig149104,NA
contig149110,0.872928965027653
contig149111,NA
contig149114,NA
contig149118,NA
contig149120,NA
contig149134,NA
contig149139_178109,0.729231687527816
contig149143,NA
contig149144_8467,NA
contig149145,NA
contig149160,NA
contig149177,NA
contig149184,NA
contig149188,NA
contig149199,NA
contig149206,NA
contig149212,NA
contig149217,NA
contig149241,NA
contig149247,NA
contig149249,NA
contig149271,NA
contig149277,NA
contig149279_169923,NA
contig149293,NA
contig149302,NA
contig149310,NA
contig149312,NA
contig149316,NA
contig149321,NA
contig149335,NA
contig149338_112692,NA
contig149356_170114,NA
contig149364,NA
contig149367_179565_199368,NA
contig149370,NA
contig149372,NA
contig149378,NA
contig149379,NA
contig149382_109340,NA
contig149390,NA
contig149410,NA
contig149431,NA
contig149437_154961_115924,NA
contig149447_76149_174836_113102_209255,NA
contig149449_171418,NA
contig149457,NA
contig149463,NA
contig149467_189648,NA
contig149469,NA
contig149477,NA
contig14948_81708_116425,NA
contig149483,NA
contig149499,NA
contig149513,NA
contig149516_218379,NA
contig149531,NA
contig149532,NA
contig149534,0.876540770989581
contig149536_57207_76034,NA
contig149539,NA
contig149551_151458,NA
contig149552,NA
contig149553,NA
contig149554,NA
contig149556,NA
contig149558,NA
contig149564,NA
contig149574,NA
contig149580,NA
contig149581,NA
contig149584,NA
contig149587_149789_114971,NA
contig149591,NA
contig149605,NA
contig149612,NA
contig149616_148167,NA
contig149629,0.435589320566571
contig149642_109026_208143,NA
contig149644,NA
contig149650,NA
contig149655_76191_107673,NA
contig149659,NA
contig149662_117616_148448,NA
contig149663_115749_168693_106597,NA
contig149667_11188_148559_20490,NA
contig149669,NA
contig149676,NA
contig149679,NA
contig149682_207832,NA
contig149683_181418,NA
contig14969,NA
contig149692,NA
contig149702,NA
contig149706_180301_115078_158325,NA
contig149707_211609,NA
contig149730,NA
contig149737_115955_138092,NA
contig149738,NA
contig149739,NA
contig149751,NA
contig149752_97935,NA
contig149753,NA
contig149758_59529_130632_79141_146594,NA
contig149760,0.522034569255132
contig149767,NA
contig149768,NA
contig149779_67978,NA
contig149785,NA
contig149790,NA
contig149792,NA
contig149799,NA
contig149820,NA
contig149821,NA
contig149823_191137,NA
contig149825,NA
contig149828,NA
contig149831,NA
contig149835,NA
contig149836,NA
contig149839,NA
contig149846,NA
contig149850,NA
contig149854,NA
contig149856,NA
contig149861,NA
contig149871,NA
contig149872,NA
contig149878,NA
contig149879,NA
contig149889,NA
contig149902_149282,NA
contig149904,NA
contig149905,NA
contig149909,NA
contig149910,NA
contig149913,NA
contig149915,NA
contig149919,NA
contig149924,0.731541853577037
contig149926,NA
contig149929,NA
contig149934,NA
contig149936_131441_204066_157538,NA
contig149941,NA
contig149947,NA
contig149949,NA
contig149950,NA
contig149951,NA
contig149952,NA
contig149957,NA
contig149968,NA
contig149986,NA
contig149989,NA
contig149992,NA
contig149993,NA
contig150001_148404,NA
contig150014,NA
contig150019,NA
contig150027,NA
contig150030_80381,NA
contig150038,NA
contig150041,NA
contig150046,NA
contig150050_182788,NA
contig150051,NA
contig150062_178043,NA
contig150071,NA
contig150073,NA
contig150077,NA
contig150078,NA
contig150082,NA
contig150085,NA
contig150086,NA
contig150088,NA
contig150089,NA
contig150090,NA
contig150097,NA
contig150098,NA
contig150101,NA
contig150106,NA
contig150110,NA
contig150116,NA
contig150117,NA
contig150124,NA
contig150125,NA
contig150128,NA
contig150131,NA
contig150133,NA
contig150137,NA
contig150138,NA
contig150143,NA
contig150145,NA
contig150149,NA
contig150150,NA
contig150156,NA
contig150162_146370_213312,NA
contig150167,NA
contig150173,NA
contig150175,NA
contig150180,NA
contig150181,NA
contig150186,NA
contig150193,NA
contig150205,NA
contig150206_119932,NA
contig150218_148030,NA
contig150219,NA
contig150228,NA
contig150241,NA
contig150246,NA
contig150249_170308_160859_181849,NA
contig150253,NA
contig150259,NA
contig150261,NA
contig150262,NA
contig150264,NA
contig150267_156058,NA
contig150269,NA
contig150272,NA
contig150277,NA
contig150282,NA
contig150289_10068_107376,NA
contig150292,NA
contig150295,NA
contig150307,NA
contig150308,NA
contig150311,NA
contig150312_171941_143476,NA
contig150317,NA
contig150321,NA
contig150323,NA
contig150327,NA
contig15033,NA
contig150330,NA
contig150337,NA
contig150345,NA
contig150350_600068_104725_115686_140729,NA
contig150362,NA
contig15037_60692,NA
contig150387,NA
contig150395,NA
contig150401,NA
contig150403,NA
contig150408,NA
contig150410,NA
contig150414,NA
contig150422_107048_177290_119981,NA
contig150424,NA
contig150429_216716,NA
contig150431_183033_182666,NA
contig150432,NA
contig150436,NA
contig150438,NA
contig150441_125433,NA
contig150443,NA
contig150447,NA
contig150451,NA
contig150452_81742_180562,NA
contig150454_205401,NA
contig150455,NA
contig150457_183001_125485,NA
contig150459,NA
contig150466,NA
contig150467,NA
contig150468,NA
contig150469,NA
contig150471,NA
contig150472,NA
contig150474,NA
contig150477,NA
contig150479_173708,NA
contig150482,NA
contig150483,NA
contig150486,NA
contig150487,NA
contig150489,NA
contig150493,NA
contig150496_194465_153563,NA
contig150498,NA
contig150499,NA
contig150501_100166_149264,NA
contig150502,NA
contig150506_100093,NA
contig150512,NA
contig150513,NA
contig150517,NA
contig150518,NA
contig150534,NA
contig150544,NA
contig150545,NA
contig150559,NA
contig150563,NA
contig15057,NA
contig150571,NA
contig150576,NA
contig150605,NA
contig150606,NA
contig150607,NA
contig150618,NA
contig15062_151578_108025,NA
contig150641,NA
contig150642,NA
contig150666,NA
contig150667_99568,NA
contig150669,NA
contig150670,NA
contig150671,NA
contig150674,NA
contig150686,NA
contig150692,NA
contig150693,NA
contig150702,NA
contig150711_103964,NA
contig150718,NA
contig150721,NA
contig150725,NA
contig150727,NA
contig150730,NA
contig150733_48685,NA
contig150734,NA
contig150735,NA
contig150736,NA
contig150743,NA
contig150746_154552,NA
contig150747,NA
contig150748,NA
contig150750_170008,NA
contig150756,NA
contig150762,NA
contig150770_600138,NA
contig150772,NA
contig150773,NA
contig150774_205528,NA
contig150775,NA
contig150781,NA
contig150784,0.798620288183847
contig150786,NA
contig150788,NA
contig150791,NA
contig150794_70333,NA
contig150795,NA
contig150796,NA
contig150800,NA
contig150802,NA
contig150804,NA
contig150807,NA
contig150808_154589_196328_16659,NA
contig150809,NA
contig150812_205885,NA
contig150814,NA
contig150816,NA
contig150818,NA
contig150819,NA
contig150820,NA
contig150821,NA
contig150822,NA
contig150824,NA
contig150827_129039_76866_157735,NA
contig150828,NA
contig150829,NA
contig150832_55109_180850,NA
contig150833,NA
contig150837,NA
contig150838,NA
contig150839,NA
contig150847,NA
contig150848,NA
contig150855,NA
contig150856,NA
contig150857,NA
contig150858,NA
contig150860,NA
contig150861,NA
contig150863,NA
contig150866,NA
contig150868,NA
contig150870,NA
contig150879_147331,NA
contig150881,NA
contig150886,NA
contig150888_151489,NA
contig150891_2650_70570,NA
contig150894,NA
contig150898,NA
contig150900_205489,NA
contig150901,NA
contig150904_59369,NA
contig150905,NA
contig150907_111605,NA
contig150908_209607,NA
contig15091_77059_74773_71544_204820_600054,NA
contig150912,NA
contig150914,NA
contig150919,NA
contig150920,NA
contig150925,0.449991197656162
contig150930,NA
contig150934,NA
contig150936_82133,NA
contig150938,NA
contig150943,NA
contig150944,NA
contig150946,NA
contig150947,NA
contig150949,NA
contig150950,NA
contig150954,NA
contig150955,NA
contig150956_69338,NA
contig150957,NA
contig150959,NA
contig150960,NA
contig150961,NA
contig150962,NA
contig150969,NA
contig150971,NA
contig150972,NA
contig150973_178887_189038,NA
contig150976,NA
contig150981,NA
contig150983,NA
contig150985,NA
contig150986,NA
contig150991,NA
contig150992,NA
contig150993,NA
contig150995_116281,NA
contig150997,NA
contig150999,NA
contig151001,0.830999773965494
contig151002,NA
contig151007,NA
contig151008_216657_155008,NA
contig151009,NA
contig151010,NA
contig151013,NA
contig151019,NA
contig151021,NA
contig151023,NA
contig151025,NA
contig151026,NA
contig151032,NA
contig151035,NA
contig151037,NA
contig151043_205671,NA
contig151045_118840_151465,NA
contig151046,NA
contig151047,NA
contig151048,NA
contig151050,NA
contig151055,NA
contig151059,NA
contig151065,NA
contig151069,NA
contig151072,NA
contig151074,NA
contig151077,NA
contig151080,NA
contig151081,NA
contig151082,NA
contig151083,NA
contig151084,NA
contig151085,NA
contig151086,NA
contig151088,NA
contig151090,NA
contig151092_109118_188825,NA
contig151099,NA
contig151100,NA
contig151104_213110_161072,NA
contig151109,NA
contig151110,NA
contig151111,NA
contig151112_150505_107037_225_21395_167788_104841_69467_52523,NA
contig151119,NA
contig151120,NA
contig151127_205457,NA
contig151129,NA
contig151130_208055,NA
contig151133,NA
contig151135,NA
contig151136_189040_23516,NA
contig151144,NA
contig151146,NA
contig151147_145687_161628,NA
contig151148,NA
contig151150,NA
contig151155_152856,NA
contig151159,NA
contig151161,NA
contig151165,NA
contig151169,NA
contig151171_97617,NA
contig151174,NA
contig151176_175734,NA
contig151180,NA
contig151182_210875_195266,NA
contig151189,NA
contig151190,NA
contig151192,NA
contig151193,NA
contig151197,NA
contig151199_171175,NA
contig151200,NA
contig151205,NA
contig151209,NA
contig151210,NA
contig151216,NA
contig151217,NA
contig151218,NA
contig151221,NA
contig151231_175745,NA
contig151232,NA
contig151236,NA
contig151237,NA
contig151240,NA
contig151241,NA
contig151244,NA
contig151245,NA
contig151246,NA
contig151248,NA
contig151249,NA
contig15125_156632,NA
contig151250,NA
contig151251,NA
contig151252_119043,NA
contig151253,NA
contig151254_131525,NA
contig151255,NA
contig151256_154836,NA
contig151257,NA
contig151262,NA
contig151264,NA
contig151268,NA
contig151269,NA
contig151270,NA
contig151272,NA
contig151275,NA
contig151277,NA
contig151287,NA
contig151288,NA
contig151289,NA
contig151290,NA
contig151291,NA
contig151294,NA
contig151295,NA
contig151297,NA
contig151303,NA
contig151305,NA
contig151308_192533,NA
contig151309,NA
contig151315,NA
contig151316,NA
contig151320,NA
contig151321,NA
contig151323_151780_188911,NA
contig151325,NA
contig151327_115774,NA
contig151328,NA
contig151334,NA
contig151336_170534,NA
contig151338,NA
contig151340,NA
contig151341,NA
contig151342,NA
contig151343,NA
contig151348,NA
contig151351,NA
contig151352,NA
contig151356,NA
contig151357,NA
contig151360,NA
contig151362,NA
contig151363,NA
contig151364,NA
contig151366,NA
contig151367,NA
contig151369,NA
contig151370_147712,NA
contig151372_93739,NA
contig151374,NA
contig151378,NA
contig151379,NA
contig151381,NA
contig151382_180631,NA
contig151388,NA
contig151390,NA
contig151391_60403,NA
contig151396,NA
contig151397,NA
contig151400_178114,NA
contig151406,NA
contig151409,NA
contig151411,NA
contig151413,NA
contig151415,NA
contig151416,NA
contig151421,NA
contig151423_203510,NA
contig151427,NA
contig151430,NA
contig151435,NA
contig151436,NA
contig151437,NA
contig151439,NA
contig151440,NA
contig151441,NA
contig151442,NA
contig151446,NA
contig151448_139982,NA
contig151451,NA
contig151452,NA
contig151457,0.367205621211597
contig151460,NA
contig151461,NA
contig151464,NA
contig151467,NA
contig151469,NA
contig151471,NA
contig151475,NA
contig151481,NA
contig151484,NA
contig151485,NA
contig151487,NA
contig151488,NA
contig151491,NA
contig151493,NA
contig151499,NA
contig151502,NA
contig151503_180392,NA
contig151504,NA
contig151505,NA
contig151508,NA
contig151509,NA
contig151511,NA
contig151513,NA
contig151515,NA
contig151525,NA
contig151527,NA
contig151528,NA
contig151534_131316_171489_119744_165457_100019,NA
contig151537_204755,NA
contig151543,NA
contig151546_188572,NA
contig151549_217578,NA
contig151550,NA
contig151553,NA
contig151559,NA
contig151560,NA
contig151561,NA
contig151562_109125,NA
contig151563,NA
contig151564,NA
contig151565,NA
contig151566,NA
contig151568,NA
contig151570,NA
contig151576,NA
contig151582,NA
contig151588,NA
contig151589,NA
contig151590,NA
contig151591,NA
contig151592_167005_440,NA
contig151596,NA
contig1516_180692,NA
contig151601,NA
contig151602,NA
contig151607,NA
contig151608,NA
contig151612,NA
contig151613,NA
contig151614,NA
contig151616_80194,NA
contig151618_21017_114323,NA
contig151622,NA
contig151634,NA
contig151635,NA
contig151642,NA
contig151647,NA
contig151648_106579,NA
contig151651_13490_8769_157582,NA
contig151658,NA
contig15166,NA
contig151665,NA
contig151669,NA
contig151675,NA
contig151679,NA
contig151680_194551,NA
contig151687,NA
contig151689,0.805911646718774
contig151692,NA
contig151694,NA
contig151695,NA
contig151697,NA
contig151700,NA
contig151701_213390,NA
contig151702_180368,NA
contig151704,NA
contig151706_119816_108937_152608_105864,NA
contig151708,NA
contig151716,NA
contig151722,NA
contig151723,NA
contig151727,NA
contig151732,NA
contig151733,NA
contig151734,NA
contig151737,NA
contig151740,NA
contig151741,NA
contig151743,NA
contig151745,0.720988632368189
contig151747,NA
contig151749,NA
contig151750_128326_114244_191868,NA
contig151754,NA
contig151755,NA
contig151759,NA
contig151760,NA
contig151763,NA
contig151764,NA
contig151766,NA
contig151772,NA
contig151773,NA
contig151774,NA
contig151775,NA
contig151781,NA
contig151784,NA
contig151785_170434,NA
contig151792_176591,NA
contig151794,NA
contig151798,NA
contig151799,NA
contig151803,NA
contig151807,NA
contig151811,NA
contig151815,NA
contig151819,NA
contig151820,NA
contig151821_113188,NA
contig151822,NA
contig151823,NA
contig151825,NA
contig151827,NA
contig151829,NA
contig151830,NA
contig151831,NA
contig151834,NA
contig151835,NA
contig151844_170513,NA
contig151845_120385_68594,NA
contig151846,NA
contig151849,NA
contig151852,NA
contig151857,NA
contig151860,NA
contig151862,0.777331293600332
contig151864,NA
contig151865,NA
contig151866,NA
contig151868,NA
contig151873,NA
contig151874,NA
contig151875,NA
contig151876,NA
contig151879,NA
contig151880,NA
contig151885_152849,NA
contig151887_218254,NA
contig151888_69512_151902_157022,NA
contig151892,NA
contig151907,NA
contig151908,NA
contig151909,NA
contig151914_175949,NA
contig151917,NA
contig151923,NA
contig151925,NA
contig151926,NA
contig151928,NA
contig151932_18730,NA
contig151933,NA
contig151942,NA
contig151948,NA
contig151955,NA
contig151956,NA
contig15196,NA
contig151960,NA
contig151962,NA
contig151965,NA
contig151969,NA
contig151970,NA
contig151973,NA
contig151975,NA
contig151977_209730_211064,NA
contig151978,NA
contig151983,NA
contig151985,NA
contig151986,NA
contig151988,NA
contig151990,NA
contig152005_180015,NA
contig152006,NA
contig152007,NA
contig152009,NA
contig15201,NA
contig152017_83349_131004,NA
contig152020,NA
contig152024,NA
contig152025,NA
contig152028_76625_98122,NA
contig152029,NA
contig152030,NA
contig152031_180637,NA
contig152035,NA
contig152038,NA
contig152043,NA
contig152047,NA
contig152048_210873_207983,NA
contig152053,NA
contig152058,0.71019378140809
contig152059,NA
contig152060,NA
contig152064,NA
contig152065_188432,NA
contig152069,NA
contig152070_116511_170517,NA
contig152071_185126,NA
contig152072,NA
contig152081,NA
contig152085,NA
contig152086_121449,0.885076995620951
contig152089_171145,NA
contig152091,NA
contig152098,NA
contig152103,NA
contig152108,NA
contig152112,NA
contig152113,NA
contig152115,NA
contig152125_210541,NA
contig152130,NA
contig152133,NA
contig152134,NA
contig152136,NA
contig152139,NA
contig152142,NA
contig152144,NA
contig152146,NA
contig152151,0.738935887523787
contig152153,NA
contig152156,NA
contig152159_211936,NA
contig152165,NA
contig152167,NA
contig152170_210010,NA
contig152171,NA
contig152175,NA
contig152177_151843,NA
contig152179,NA
contig152180,NA
contig152184,NA
contig152187,NA
contig152189_149557,NA
contig152190,NA
contig152191,NA
contig152193,NA
contig152194,NA
contig152198,NA
contig152199,NA
contig152203,NA
contig152205,NA
contig152208,NA
contig152211,NA
contig152213,NA
contig152215_152305_80530_4471_190036_19732,NA
contig152216,NA
contig152217,NA
contig152218,NA
contig152220,NA
contig152222,NA
contig152225,NA
contig152230,NA
contig152231,NA
contig152233_77432_151761_112481_115659_150310_179328_80859_178375,NA
contig152235,NA
contig152239,NA
contig152241,NA
contig152242,NA
contig152247,NA
contig152248,NA
contig152250_100375_158462_210107,NA
contig152251,NA
contig152252,NA
contig152255,NA
contig152256,NA
contig152261,NA
contig152262,NA
contig152263_170651_208957,NA
contig152266,NA
contig152268,NA
contig152269,NA
contig152287_4157_196610,NA
contig152289_204121,0.759939749096929
contig152304,NA
contig152310,NA
contig152325,NA
contig152331,NA
contig152332,NA
contig152337,NA
contig152340,NA
contig152341,NA
contig152344,NA
contig152346,NA
contig152351,NA
contig152353,NA
contig152361_110931_79336,NA
contig152365,NA
contig152368,NA
contig152369,NA
contig152374,NA
contig152380,NA
contig152382,NA
contig152385,NA
contig152388,NA
contig152390,NA
contig152391_98921,0.391921886431518
contig152393,NA
contig152399,NA
contig152401,NA
contig152404,NA
contig152406,NA
contig152409_74549,NA
contig152410,NA
contig152411,NA
contig152412_24166_48320,NA
contig152420,NA
contig152428,NA
contig152435,NA
contig152438,NA
contig152446,NA
contig152447,NA
contig152449,NA
contig152450,NA
contig152452,NA
contig152454,NA
contig152457,NA
contig152469,NA
contig152471_189632_99286_113725_72863,NA
contig152476,NA
contig152478,NA
contig152479,NA
contig152507,NA
contig152508,NA
contig152514,NA
contig152518_74705,NA
contig152525_133323_139160,NA
contig152536,NA
contig152539,NA
contig152562,NA
contig152567,NA
contig152573_109288_154842,NA
contig152575,NA
contig152580,NA
contig152585,NA
contig152588,NA
contig152589_77516,NA
contig152594,NA
contig152599,NA
contig152609,NA
contig152612,NA
contig152615,NA
contig152619,NA
contig152631,0.812499345318704
contig152652_211066_201937,NA
contig152661,NA
contig152664,NA
contig152665,NA
contig152671,NA
contig152673,NA
contig152676,NA
contig152684_145725_150836_176604_171355,NA
contig152685,NA
contig152686_105485,NA
contig152703,NA
contig152704,NA
contig152705,NA
contig152706,NA
contig152709,NA
contig152718,NA
contig152723,NA
contig152724_196052_159675_210737,NA
contig152725,NA
contig152729,NA
contig152736,NA
contig152740,NA
contig152742_59077,NA
contig152745_111186,NA
contig152754,NA
contig152776,NA
contig152777_153218,NA
contig152786,NA
contig152788,NA
contig152789,NA
contig152791,NA
contig152794_118863_170956,NA
contig152798,NA
contig152800,NA
contig152802,NA
contig152805_155359,NA
contig152806,NA
contig152807,NA
contig152815,0.780639635785552
contig152817,NA
contig152828,NA
contig152833,NA
contig152835,NA
contig152837,NA
contig152839,NA
contig152841,NA
contig152844,NA
contig152850,NA
contig152868,NA
contig152869,NA
contig152877,NA
contig152880_153544,NA
contig152884,NA
contig152887,NA
contig152888,NA
contig152890,NA
contig152892,NA
contig152894_184544,NA
contig152896,NA
contig152899,NA
contig15290,NA
contig152903,NA
contig152909,NA
contig152911,NA
contig152912_71191,NA
contig152920_23160_186428_184769_120399_128820_600073_143354,NA
contig152922,NA
contig152928,NA
contig152931_81862,NA
contig152938,NA
contig152941_156220,NA
contig152946,NA
contig152949,NA
contig152950,NA
contig152952,NA
contig152955,NA
contig152963,NA
contig152966,NA
contig152968,NA
contig152973,NA
contig152997_143698_202181,NA
contig152998,NA
contig153000_151710,NA
contig153004,NA
contig153005,NA
contig153006,NA
contig153008,NA
contig153015,NA
contig153021,NA
contig153026_138087,NA
contig153030,NA
contig153031_115255,NA
contig153036,NA
contig153038,NA
contig153050,NA
contig153057_113775,NA
contig153060,NA
contig153062,0.875075437107434
contig153063_130672_74159_148675_76533,NA
contig153064,NA
contig153067_152845,NA
contig153068,NA
contig153069_153082,NA
contig153070,NA
contig153079,NA
contig153081_130344_132898_171344_132957,NA
contig153084,NA
contig153085,NA
contig153086,NA
contig153092,NA
contig153101,NA
contig153102,NA
contig153103,NA
contig153142,NA
contig153154_114682,NA
contig153156,NA
contig153162,NA
contig153166_107264,NA
contig153174,0.801194114566574
contig153175,NA
contig153177,NA
contig15318,NA
contig153183_209329,NA
contig153206,NA
contig153212,NA
contig153213,NA
contig153214,NA
contig153216,0.743637227808788
contig153217,NA
contig153220_204413,NA
contig153221,NA
contig153223,NA
contig153224,NA
contig153225,NA
contig153226_112600,NA
contig153227,NA
contig153232,NA
contig153236,NA
contig153239,NA
contig153241,NA
contig153242,NA
contig153246,NA
contig153253,NA
contig153254,NA
contig153257,NA
contig153262,NA
contig153266,NA
contig153268,NA
contig153269_188860,NA
contig153270,NA
contig153274_76724,NA
contig153276,NA
contig153282,NA
contig153286,NA
contig153294,NA
contig153295,NA
contig153296,0.886146181407369
contig153298,NA
contig153302_132931,NA
contig153305,NA
contig153308_135056,NA
contig153309_188810,NA
contig153310,NA
contig153311,NA
contig153312,NA
contig153314,NA
contig153315,NA
contig153316,NA
contig153318,NA
contig153319,NA
contig15332_78360_107060,NA
contig153320,NA
contig153321,0.390996762858602
contig153322,NA
contig153327,NA
contig153328,NA
contig153330,NA
contig153331,NA
contig153333,NA
contig153340_22603,NA
contig153342_181120,NA
contig153343,NA
contig153348,NA
contig153349,NA
contig153355,NA
contig153365,NA
contig153367,NA
