CoPt_E_rep1	CoPt_E_rep2	CoPt_E_rep3	CoPt_E_rep4	Falu_E_rep1	Falu_E_rep3	Falu_E_rep4	Falu_E_rep6	Ftele_E_rep3	Ftele_E_rep5	Ftele_E_rep6	Can_E_rep2	Can_E_rep3	Can_E_rep4	Can_E_rep6	Vat_E_rep1	Vat_E_rep3	Vat_E_rep4	Vat_E_rep6
contig103887	0.082623126285633	-1.36350130506571	-0.130738669713292	-0.463696764464554	-0.995923443609724	-0.276239673706898	-0.613054390558339	-1.2947090146247	0.328970762987307	-0.960053848811327	0.631444867150047	1.38134369430555	0.895079806116898	0.368839439060453	0.493040074734051	0.396166729418091	0.546077443901901	0.363889869345193	0.610441297249411
contig151176_175734	1.72826574554671	1.37434753641491	2.25802660459757	0.256781877633044	-0.033127305324131	-0.53369132780093	-1.41496438923018	-0.20769621611815	-1.41496438923018	-0.0253975774674529	-1.41496438923018	-0.961841942634366	1.1971521629947	0.867771931046164	0.226581639857345	-1.41496438923018	-1.41496438923018	0.96465657282553	-0.0370077554200647
contig151082	1.27685088802195	0.0208954420502097	-1.75725176446362	-0.184484560712766	-1.10172003747301	-1.05320452935888	-0.399186450622696	-0.917645003733278	-0.340697076023085	0.987827383444587	-1.19568630180587	1.80732759074399	1.92885570278373	1.31315683932702	1.11655480692382	-0.278664839808698	-2.0135015657303	0.0121353073949666	0.778438169041923
contig196699	1.02467094764685	-3.55957002515684	-3.55957002515684	1.56769180356876	-3.55957002515684	0.978471428176819	-3.55957002515684	-3.55957002515684	2.02707463870754	1.54543749960413	0.180170087345128	2.22882857936795	-3.55957002515684	2.06312610301083	1.20527503301268	2.63363004548043	1.31837049648022	2.2797849544978	2.30488853404193
contig176773	0.701870401457597	-0.902432190747429	-0.91763538528565	0.0970966765725878	-1.07980480792975	-1.41183303318262	-1.42666059669074	-0.947712135841901	0.194324057421929	0.0855431025892548	1.22828594679513	1.02628009670483	0.27467297608332	1.11696701667986	0.0625102948586038	-0.729840339708163	1.30207903026669	1.45495109468929	-0.128662204732835
contig24365	0.296440179562368	-1.33303375498751	-1.82215782003377	-1.33330232575962	-0.127426805617205	0.0226421222670234	-0.952287702942865	-0.877042400194218	0.327437989124643	0.593686316945389	-0.39524892385206	1.66763745328778	0.838628288247591	1.5607054729697	-0.295330115246208	0.886982958530653	0.909459619060354	0.784471622496409	-0.75226217385846
contig183957_148073	-0.364160868474728	0.625238405344793	0.019348548602343	-1.40380817759889	0.359844067740332	-1.60027263167112	-0.784345748979331	-0.246357961640277	-1.04921476964104	-0.842610918465396	-0.574118330557999	0.976598078502764	0.877653967815554	1.30021570987657	1.97403183275011	0.894036472167025	1.14455571980576	-1.31643163587307	0.00979824029661147
contig210943	0.905439093563576	-1.64838020770867	0.764207939834339	-5.54774921598465	-1.05365367104402	0.6411461852999	0.65386504321704	-0.824846077424201	-5.54774921598465	1.63662035135583	-0.192028132247985	1.20376806429368	1.27197005354219	0.97078592299753	1.68887733338518	1.47450761623365	-0.165185708223838	2.03967578597659	1.72872883891853
contig180194_98013	0.478530277864341	2.06931433051221	0.823788630598994	-0.787447117562416	-0.759521771412117	-0.769047279230436	3.30088193223516	-0.0530931943052071	0.37647992262157	-0.724451708354391	-1.27438982314753	-0.701272175833249	-0.408094027361011	-1.57640220128804	-0.252439480237677	0.802137389573032	-0.286532047480097	-0.317494292033008	0.0590526348398699
contig210522	-0.64844198436298	-0.689316492841954	-1.05896561713999	-2.54490760055241	-2.54490760055241	2.29721642000567	-2.54490760055241	0.117525795008941	-2.54490760055241	0.506812515894922	0.262653406076778	1.14047195140667	1.01605185778519	4.05503498761757	1.12037146053546	0.361405801593367	-0.762499035625033	1.62092396316162	0.840385373093386
contig188776	-0.668992487297983	0.881415705919297	0.927465652261003	1.24977536202716	1.81333953344939	1.88903018622726	0.279608360195373	0.987275047496306	-0.668992487297983	-0.668992487297983	-0.668992487297983	-0.668992487297983	-0.668992487297983	-0.668992487297983	-0.668992487297983	-0.668992487297983	-0.668992487297983	-0.668992487297983	-0.668992487297983
contig146248_201532	0.199332347713147	0.746493547828663	0.715418650683834	0.669038222370602	1.43172377305172	0.471520469673184	0.657161159818521	0.324304707137358	0.535239724303143	0.53779368909235	-0.198844800426522	-1.18290685071107	-1.1502841142066	-1.70582200333161	-0.582073901108756	-0.603129243408491	-1.02148909568907	-0.79645467743088	0.95297839464048
contig211431	0.428563470814315	1.04281484374369	-0.993646236629751	0.78913558790732	-0.855555061177613	0.0845674735919086	-0.24508945774397	-2.86551663911993	-2.02793864804028	-0.0299949086414504	-0.292297863776573	1.16553738403762	1.39276692982317	0.149601940779976	1.02663808346068	0.00730098038583815	1.46517721445749	0.3757817402879	-0.617846834160323
contig19672	-0.0125286882686468	0.277221689177132	0.998379790058731	0.688048540718557	1.21024676640097	0.614424237739131	1.03797408807098	1.21502612226232	0.0258396034535229	0.239814331302762	-0.504675113245257	-0.643121883214401	-0.907402319101948	-0.406858706176248	-1.70316926688434	0.297191361799175	-0.623193890163744	-1.70316926688434	-0.100047397044344
contig176289_120118_153740_72036_88343_162349	0.226290052167043	-0.816737231427505	0.640643647645031	-0.385986016053032	0.207808832711311	1.63895692812691	0.690066206368142	-0.219482755647397	-0.746041240756572	-1.23769072984433	0.935523932327616	-1.97663372703019	-0.578332492102426	0.0888646682124414	-1.7323084502668	1.50776480712368	1.05527798031726	-0.149625689352477	0.851641277481289
contig82821	-0.44784029468696	1.66835435603658	1.5182907658173	0.54666162304559	0.859194620300151	1.45908688458453	-0.573920043066536	0.223562481435296	0.283627217211796	1.03715529797375	-1.84235443664292	-0.514667072466872	-1.84235443664292	-1.84235443664292	-1.84235443664292	2.85580846674218	-1.84235443664292	0.17164370939808	0.124814170889708
contig215703_218296	-1.40923702105764	-0.816600592451058	-1.40923702105764	-0.606836980942796	0.757478423908787	-1.40923702105764	0.582806255114021	-1.40923702105764	1.34265511734667	-1.40923702105764	1.64509053336836	0.649079474533187	0.8935206945804	1.69711129844751	0.388191061094677	0.0533388669845687	0.437958165531759	-0.715025413289745	0.737418201061829
contig155603	2.71261046620089	-2.4328095031095	0.0949648066030653	0.474242600696032	-1.49300168271205	-0.0387186786342371	-6.07724265551574	-1.10970511944488	-0.375554991180444	1.53233503146663	0.323107410920265	3.76067378781379	0.24054980285935	0.233987967137084	0.772656552281333	3.01777716003305	-0.716000667050761	1.33678291176563	-2.2566552001295
contig203479	1.60644697690468	2.05907764405993	-0.222671824670728	0.609839049263645	-2.58472083675897	-2.58472083675897	-2.58472083675897	-2.58472083675897	-2.58472083675897	2.06856852539669	0.262474349830427	1.33404701256618	1.09459035197599	-2.58472083675897	1.99445931136818	2.13435305552118	-0.030868868577842	0.834143740631352	1.76386569628412
contig159782	-2.70656163341193	-2.70656163341193	-2.70656163341193	0.230594405054257	-2.70656163341193	1.14663562135843	0.581501566913386	-0.193070887823813	0.714190229855123	-2.70656163341193	0.787213775048773	1.36202319763272	2.35676872739502	-0.0553376904220531	2.09805988524459	1.77331561525913	1.70953495620041	1.39852972753705	-0.377150962193362
contig82904	0.398656249500474	1.13514998919285	0.764995619183156	0.436372871721785	0.209377080044144	-0.203868473853545	0.805769757244305	0.652778042475782	1.23126482518347	-0.427335795307436	-0.135322322501877	-0.217543410750622	-1.21393215719824	-1.21393215719824	-1.21393215719824	-0.276587765048011	-0.468049468295984	-0.501996800219322	0.238136073025568
contig119843_148312	0.0861316401760388	0.554083898587577	1.15866508552178	0.504660940370975	1.2042956080917	0.133888385087567	0.777879856410722	0.693704962323385	-0.00651170217265928	0.0258453413422368	-1.49999667478301	-0.826451219035823	-0.5128831960686	-0.458609755858024	-0.93894571110464	-0.888455940650947	-0.175970792084719	-0.5270737535037	0.695743027350144
contig82630	0.382494560653002	0.276488713867693	0.460052441393354	0.843870167795981	0.709818435709059	0.522964173582535	0.614747901712684	1.23155473284449	0.20569024619734	-0.364075852891793	-0.143709404421485	-0.270346562950081	-1.0127822376063	-0.490379952523891	-1.07019548010524	-1.97477591502656	0.632613584997841	0.0427897279878127	-0.596819281216444
contig209146	0.425969932913649	1.21828475189948	1.08068623796827	0.69711527629465	0.427614030004274	0.499984222911081	1.05981157019682	0.411088132913396	1.58310462115829	-0.311087054939255	-0.370799737456867	-0.524974248748245	-1.30515847522547	-0.861953446275779	-0.54310817747348	-1.96964131559015	-0.103722501037941	-1.96964131559015	0.556427496077435
contig109204	-2.10948926624902	3.77823095011017	-0.423324940187662	-2.10948926624902	-2.10948926624902	-2.10948926624902	-2.10948926624902	-2.10948926624902	-2.10948926624902	2.43326404443621	-2.10948926624902	2.44847216064418	2.28145350655352	4.78062906163657	4.02430027935268	1.92269975851645	-2.10948926624902	-0.150832158571911	-2.10948926624902
contig153757	-3.608735635965	-3.608735635965	2.52727113524376	-0.411656583018956	1.29213117201575	2.16159128596067	-3.608735635965	-3.608735635965	-3.608735635965	2.01369694614485	0.0823518049868981	4.47835587568992	2.52610135748412	3.11850414151981	0.550974271358052	-3.608735635965	-0.26674988873638	0.64782218262203	2.93202011451945
contig201659	-0.0305153226312695	0.78687246263917	0.886474237541308	0.214988446619794	0.608556965580465	0.505678158863514	1.29234436969964	1.02378145145031	0.336932496164193	0.0581461543788815	-0.914724519677449	-1.8744409242121	-1.37711551379529	-0.523123964014502	-0.655188210406221	0.538438760339945	-0.770104264397366	-0.841369102606452	0.734368318463423
contig72273	-0.201200414044259	-0.228882026969181	-0.038401283346683	-0.345246783660966	0.932737963638799	0.0887808910026318	0.742216057589374	0.351637307194489	0.956926016079786	-0.345246783660966	-0.000418286663524559	-0.345246783660966	-0.219595681999446	-0.345246783660966	-0.0419043891736349	0.0748313323184082	-0.345246783660966	-0.345246783660966	-0.345246783660966
contig154164	-5.68487754069904	-0.380147482866469	1.08703444121748	1.41118397099869	0.652762199761741	0.137674171029476	-0.16911463515784	-5.68487754069904	1.5812249629354	0.3988038827501	1.27591215427088	1.31083308820806	1.43056152803035	1.2421418443056	1.53805257076574	0.508322529938238	0.168294757187851	-2.31039443637757	1.48660953440036
contig213424_172005	-0.785450644064628	-0.492864899869471	-2.60115935345211	-0.80399250905741	-0.359236027650149	-0.145181638884629	-0.425190760265932	0.324240769559163	-0.913460276975296	0.636162070390843	1.04277962849737	1.51666445379727	1.38532340493751	0.412488733547281	0.418967020539604	-1.86212537894468	1.47305251111186	0.737233342852982	0.441749553930415
