"","delta.rank","pval","level","nseqs","term","name","p.adj"
"7",0,2.88207149843814e-05,2,5,"GO:0001730","2'-5'-oligoadenylate synthetase activity",0
"92",0,2.32409538708889e-05,5,10,"GO:0005272","sodium channel activity",0
"275",0,1.33162343236455e-05,5,2757,"unknown","unknown",0
