"","delta.rank","pval","level","nseqs","term","name","p.adj"
"51",0,7.27431169114113e-05,5,121,"GO:0006281","DNA repair",0.00714285714285714
"179",0,6.45709974399895e-05,4,24,"GO:0009116;GO:1901657","nucleoside metabolic process",0.00833333333333333
"339",0,1.48075808383708e-08,4,8,"GO:0043046;GO:0034587","piRNA metabolic process",0
