"","delta.rank","pval","level","nseqs","term","name","p.adj"
"130",0,1.86488309148063e-05,2,8,"GO:0009975;GO:0016849","cyclase activity",0
"198",0,7.30594327112189e-06,2,13,"GO:0030159","receptor signaling complex scaffold activity",0
