"","delta.rank","pval","level","nseqs","term","name","p.adj"
"83",0,1.49264466777178e-07,2,10,"GO:0006890","retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",0
"253",0,1.3965117505252e-05,2,15,"GO:0033209","tumor necrosis factor-mediated signaling pathway",0
