"","delta.rank","pval","level","nseqs","term","name","p.adj"
"51",0,1.35626087439945e-05,2,112,"GO:0004386","helicase activity",0
"122",0,1.24166753173881e-05,2,80,"GO:0008168;GO:0016741","transferase activity, transferring one-carbon groups",0
"273",0,6.6861387389185e-06,2,9,"GO:0043274","phospholipase binding",0
