"","delta.rank","pval","level","nseqs","term","name","p.adj"
"31",0,1.07157219651612e-05,2,69,"GO:0001817","regulation of cytokine production",0
"593",0,6.57942576607656e-06,3,26,"GO:0048278;GO:0140056;GO:0022406","membrane docking",0
"821",0,1.24329190599957e-07,5,2757,"unknown","unknown",0
