"","delta.rank","pval","level","nseqs","term","name","p.adj"
"135",0,7.85685769180429e-07,2,20,"GO:0006816","calcium ion transport",0
"166",0,1.248833481553e-05,3,9,"GO:0006958","complement activation, classical pathway",0
"175",0,1.03748211489497e-05,5,5,"GO:0007020","microtubule nucleation",0
