"Sample","low_pollution","med_pollution","high_pollution","symbiont_CD","symbiont_Donly","CWC3.Thresh_040","ARed.Thresh_040","CWC3.X0.Rank","ARed.X0.Rank","Phenotype.X0.Rank"
"CoPt_E_rep1",0,0,1,0,1,33.0047284286759,32.854121904171,2,2,3
"CoPt_E_rep2",0,0,1,0,1,NA,NA,NA,NA,NA
"CoPt_E_rep3",0,0,1,0,1,31.8906741500984,36,2,1,2
"CoPt_E_rep4",0,0,1,0,1,31.3117051436787,31.9851762225114,3,3,5
"Falu_E_rep1",0,1,0,0,1,33.5094426603999,34.3481630168889,2,2,3
"Falu_E_rep3",0,1,0,0,1,30.4324740112723,31.6105838560562,3,3,5
"Falu_E_rep4",0,1,0,0,1,31.2258377104277,32.3963882154834,3,2,4
"Falu_E_rep6",0,1,0,0,1,32.9545040853271,33.8747349606279,2,1,2
"Ftele_E_rep3",1,0,0,1,0,31.9540003422043,34.245337066316,2,1,2
"Ftele_E_rep5",1,0,0,1,0,36,36,1,1,1
"Ftele_E_rep6",1,0,0,1,0,32.6486669614793,32.3741296890151,2,2,3
"Can_E_rep2",0,0,1,0,1,34.3466231715877,32.6466668621615,1,3,3
"Can_E_rep3",0,0,1,0,1,32.338852102653,31.6086401817679,2,3,4
"Can_E_rep4",0,0,1,0,1,31.699010125257,32.2268245766832,3,3,5
"Can_E_rep6",0,0,1,0,1,33.1335973228978,34.6643016438382,2,1,2
"Vat_E_rep1",1,0,0,0,1,34.2361976573842,34.5658078554784,1,1,1
"Vat_E_rep3",1,0,0,0,1,32.2777440260576,31.8471817980578,3,2,4
"Vat_E_rep4",1,0,0,0,1,33.1558777023886,36,1,1,1
"Vat_E_rep6",1,0,0,1,0,36,36,1,1,1
