"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
0.00383960619086097,2,2,"glycylpeptide N-tetradecanoyltransferase activity","O60551 P30419"
0.00383960619086097,2,2,"myristoyltransferase activity","O60551 P30419"
0.0379378068254197,2,6,"nerve growth factor binding","P08138 Q99523"
0.0397154062152793,2,7,"chondroitin sulfate binding","Q13332 O00468"
